"State","State.Abbreviation","Policy","Date","Group"
"Delaware","DE","Closed.movie.theaters",2020-03-19,"Lockdown"
"New Mexico","NM","Closed.gyms",2020-03-19,"Lockdown"
"New Mexico","NM","Closed.movie.theaters",2020-03-19,"Lockdown"
"New Mexico","NM","Closed.bars",2020-03-19,"Lockdown"
"South Carolina","SC","Closed.restaurants",2020-03-19,"Lockdown"
"Utah","UT","Closed.bars",2020-03-19,"Lockdown"
"West Virginia","WV","Closed.restaurants",2020-03-19,"Lockdown"
"West Virginia","WV","Closed.gyms",2020-03-19,"Lockdown"
"Wyoming","WY","Closed.K.12.public.schools",2020-03-19,"Lockdown"
"Wyoming","WY","Closed.other.non.essential.businesses",2020-03-19,"Lockdown"
"Wyoming","WY","Closed.restaurants",2020-03-19,"Lockdown"
"Wyoming","WY","Closed.gyms",2020-03-19,"Lockdown"
"Wyoming","WY","Closed.movie.theaters",2020-03-19,"Lockdown"
"Wyoming","WY","Closed.bars",2020-03-19,"Lockdown"
"Alabama","AL","Closed.K.12.public.schools",2020-03-20,"Lockdown"
"Arkansas","AR","Closed.restaurants",2020-03-20,"Lockdown"
"Arkansas","AR","Closed.gyms",2020-03-20,"Lockdown"
"Arkansas","AR","Closed.movie.theaters",2020-03-20,"Lockdown"
"Arkansas","AR","Closed.bars",2020-03-20,"Lockdown"
"Indiana","IN","Closed.K.12.public.schools",2020-03-20,"Lockdown"
"Mississippi","MS","Closed.K.12.public.schools",2020-03-20,"Lockdown"
"Montana","MT","Closed.restaurants",2020-03-20,"Lockdown"
"Montana","MT","Closed.gyms",2020-03-20,"Lockdown"
"Montana","MT","Closed.movie.theaters",2020-03-20,"Lockdown"
"Montana","MT","Closed.bars",2020-03-20,"Lockdown"
"Montana","MT","Closed.casinos",2020-03-20,"Lockdown"
"New Mexico","NM","Closed.restaurants",2020-03-20,"Lockdown"
"North Dakota","ND","Closed.other.non.essential.businesses",2020-03-20,"Lockdown"
"North Dakota","ND","Closed.gyms",2020-03-20,"Lockdown"
"North Dakota","ND","Closed.movie.theaters",2020-03-20,"Lockdown"
"North Dakota","ND","Closed.bars",2020-03-20,"Lockdown"
"Tennessee","TN","Closed.K.12.public.schools",2020-03-20,"Lockdown"
"Utah","UT","Closed.restaurants",2020-03-20,"Lockdown"
"Arizona","AZ","Closed.restaurants",2020-03-21,"Lockdown"
"Arizona","AZ","Closed.gyms",2020-03-21,"Lockdown"
"Arizona","AZ","Closed.movie.theaters",2020-03-21,"Lockdown"
"Arizona","AZ","Closed.bars",2020-03-21,"Lockdown"
"Illinois","IL","Stay.at.home.shelter.in.place",2020-03-21,"Lockdown"
"Illinois","IL","Closed.other.non.essential.businesses",2020-03-21,"Lockdown"
"Illinois","IL","Closed.gyms",2020-03-21,"Lockdown"
"Illinois","IL","Closed.movie.theaters",2020-03-21,"Lockdown"
"Nevada","NV","Closed.other.non.essential.businesses",2020-03-21,"Lockdown"
"Nevada","NV","Closed.restaurants",2020-03-21,"Lockdown"
"Nevada","NV","Closed.gyms",2020-03-21,"Lockdown"
"Nevada","NV","Closed.movie.theaters",2020-03-21,"Lockdown"
"Nevada","NV","Closed.bars",2020-03-21,"Lockdown"
"New Jersey","NJ","Stay.at.home.shelter.in.place",2020-03-21,"Lockdown"
"New Jersey","NJ","Closed.other.non.essential.businesses",2020-03-21,"Lockdown"
"North Dakota","ND","Closed.restaurants",2020-03-21,"Lockdown"
"Pennsylvania","PA","Closed.other.non.essential.businesses",2020-03-21,"Lockdown"
"Pennsylvania","PA","Closed.gyms",2020-03-21,"Lockdown"
"Pennsylvania","PA","Closed.movie.theaters",2020-03-21,"Lockdown"
"Texas","TX","Closed.K.12.public.schools",2020-03-21,"Lockdown"
"Texas","TX","Closed.restaurants",2020-03-21,"Lockdown"
"Texas","TX","Closed.gyms",2020-03-21,"Lockdown"
"Texas","TX","Closed.bars",2020-03-21,"Lockdown"
"New York","NY","Stay.at.home.shelter.in.place",2020-03-22,"Lockdown"
"New York","NY","Closed.other.non.essential.businesses",2020-03-22,"Lockdown"
"Rhode Island","RI","Closed.casinos",2020-03-22,"Lockdown"
"California","CA","Closed.K.12.public.schools",2020-03-23,"Lockdown"
"Colorado","CO","Closed.K.12.public.schools",2020-03-23,"Lockdown"
"Connecticut","CT","Closed.other.non.essential.businesses",2020-03-23,"Lockdown"
"Louisiana","LA","Stay.at.home.shelter.in.place",2020-03-23,"Lockdown"
"Louisiana","LA","Closed.other.non.essential.businesses",2020-03-23,"Lockdown"
"Maryland","MD","Closed.other.non.essential.businesses",2020-03-23,"Lockdown"
"Missouri","MO","Closed.K.12.public.schools",2020-03-23,"Lockdown"
"Missouri","MO","Closed.restaurants",2020-03-23,"Lockdown"
"Missouri","MO","Closed.bars",2020-03-23,"Lockdown"
"Oregon","OR","Stay.at.home.shelter.in.place",2020-03-23,"Lockdown"
"Oregon","OR","Closed.other.non.essential.businesses",2020-03-23,"Lockdown"
"Rhode Island","RI","Closed.gyms",2020-03-23,"Lockdown"
"Rhode Island","RI","Closed.movie.theaters",2020-03-23,"Lockdown"
