"State","State.Abbreviation","Policy","Date","Group"
"Ohio","OH","closing_movietheaters","3/17/2020","Lockdown"
"Oklahoma","OK","closing_movietheaters","4/1/2020","Lockdown"
"Oregon","OR","closing_movietheaters","3/24/2020","Lockdown"
"Pennsylvania","PA","closing_movietheaters","3/21/2020","Lockdown"
"Rhode Island","RI","closing_movietheaters","3/23/2020","Lockdown"
"South Carolina","SC","closing_movietheaters","4/1/2020","Lockdown"
"Tennessee","TN","closing_movietheaters","3/23/2020","Lockdown"
"Texas","TX","closing_movietheaters","4/2/2020","Lockdown"
"Utah","UT","closing_movietheaters","3/27/2020","Lockdown"
"Vermont","VT","closing_movietheaters","3/25/2020","Lockdown"
"Virginia","VA","closing_movietheaters","3/25/2020","Lockdown"
"Washington","WA","closing_movietheaters","3/16/2020","Lockdown"
"West Virginia","WV","closing_movietheaters","3/24/2020","Lockdown"
"Wisconsin","WI","closing_movietheaters","3/25/2020","Lockdown"
"Wyoming","WY","closing_movietheaters","3/19/2020","Lockdown"
"Alabama","AL","closing_gyms","3/28/2020","Lockdown"
"Alaska","AK","closing_gyms","3/18/2020","Lockdown"
"Arizona","AZ","closing_gyms","3/21/2020","Lockdown"
"Arkansas","AR","closing_gyms","3/20/2020","Lockdown"
"California","CA","closing_gyms","3/19/2020","Lockdown"
"Colorado","CO","closing_gyms","3/17/2020","Lockdown"
"Connecticut","CT","closing_gyms","3/16/2020","Lockdown"
"Delaware","DE","closing_gyms","3/19/2020","Lockdown"
"District of Columbia","DC","closing_gyms","3/17/2020","Lockdown"
"Florida","FL","closing_gyms","4/3/2020","Lockdown"
"Georgia","GA","closing_gyms","4/3/2020","Lockdown"
"Hawaii","HI","closing_gyms","3/25/2020","Lockdown"
"Idaho","ID","closing_gyms","3/25/2020","Lockdown"
"Illinois","IL","closing_gyms","3/21/2020","Lockdown"
"Indiana","IN","closing_gyms","3/25/2020","Lockdown"
"Iowa","IA","closing_gyms","3/17/2020","Lockdown"
"Kansas","KS","closing_gyms","3/30/2020","Lockdown"
"Kentucky","KY","closing_gyms","3/18/2020","Lockdown"
"Louisiana","LA","closing_gyms","3/17/2020","Lockdown"
"Maine","ME","closing_gyms","3/25/2020","Lockdown"
"Maryland","MD","closing_gyms","3/16/2020","Lockdown"
"Massachusetts","MA","closing_gyms","3/24/2020","Lockdown"
"Michigan","MI","closing_gyms","3/16/2020","Lockdown"
"Minnesota","MN","closing_gyms","3/17/2020","Lockdown"
"Mississippi","MS","closing_gyms","4/3/2020","Lockdown"
"Missouri","MO","closing_gyms","4/3/2020","Lockdown"
"Montana","MT","closing_gyms","3/20/2020","Lockdown"
"Nebraska","NE","closing_gyms","4/3/2020","Lockdown"
"Nevada","NV","closing_gyms","3/21/2020","Lockdown"
"New Hampshire","NH","closing_gyms","3/28/2020","Lockdown"
"New Jersey","NJ","closing_gyms","3/16/2020","Lockdown"
"New Mexico","NM","closing_gyms","3/19/2020","Lockdown"
"New York","NY","closing_gyms","3/16/2020","Lockdown"
"North Carolina","NC","closing_gyms","3/25/2020","Lockdown"
"North Dakota","ND","closing_gyms","3/20/2020","Lockdown"
"Ohio","OH","closing_gyms","3/17/2020","Lockdown"
"Oklahoma","OK","closing_gyms","4/1/2020","Lockdown"
"Oregon","OR","closing_gyms","3/24/2020","Lockdown"
"Pennsylvania","PA","closing_gyms","3/21/2020","Lockdown"
"Rhode Island","RI","closing_gyms","3/23/2020","Lockdown"
"South Carolina","SC","closing_gyms","4/1/2020","Lockdown"
"Tennessee","TN","closing_gyms","3/23/2020","Lockdown"
"Texas","TX","closing_gyms","3/21/2020","Lockdown"
"Utah","UT","closing_gyms","3/27/2020","Lockdown"
"Vermont","VT","closing_gyms","3/23/2020","Lockdown"
"Virginia","VA","closing_gyms","3/25/2020","Lockdown"
"Washington","WA","closing_gyms","3/16/2020","Lockdown"
"West Virginia","WV","closing_gyms","3/19/2020","Lockdown"
"Wisconsin","WI","closing_gyms","3/25/2020","Lockdown"
"Wyoming","WY","closing_gyms","3/19/2020","Lockdown"
"Alabama","AL","closing_casinos","3/28/2020","Lockdown"
"Arkansas","AR","closing_casinos","3/17/2020","Lockdown"
"Colorado","CO","closing_casinos","3/17/2020","Lockdown"
"Delaware","DE","closing_casinos","3/16/2020","Lockdown"
"Illinois","IL","closing_casinos","3/16/2020","Lockdown"
"Indiana","IN","closing_casinos","3/16/2020","Lockdown"
"Iowa","IA","closing_casinos","3/16/2020","Lockdown"
"Kansas","KS","closing_casinos","5/4/2020","Lockdown"
"Louisiana","LA","closing_casinos","3/17/2020","Lockdown"
"Maryland","MD","closing_casinos","3/16/2020","Lockdown"
"Massachusetts","MA","closing_casinos","3/14/2020","Lockdown"
"Michigan","MI","closing_casinos","3/16/2020","Lockdown"
"Mississippi","MS","closing_casinos","3/16/2020","Lockdown"
"Missouri","MO","closing_casinos","3/17/2020","Lockdown"
"Montana","MT","closing_casinos","3/20/2020","Lockdown"
"Nevada","NV","closing_casinos","3/17/2020","Lockdown"
"New Jersey","NJ","closing_casinos","3/16/2020","Lockdown"
"New Mexico","NM","closing_casinos","3/16/2020","Lockdown"
"New York","NY","closing_casinos","3/16/2020","Lockdown"
"Pennsylvania","PA","closing_casinos","3/17/2020","Lockdown"
"Rhode Island","RI","closing_casinos","3/22/2020","Lockdown"
"South Carolina","SC","closing_casinos","4/1/2020","Lockdown"
"West Virginia","WV","closing_casinos","3/18/2020","Lockdown"
"Alabama","AL","closing_bars","3/19/2020","Lockdown"
"Alaska","AK","closing_bars","3/18/2020","Lockdown"
"Arizona","AZ","closing_bars","3/21/2020","Lockdown"
"Arkansas","AR","closing_bars","3/20/2020","Lockdown"
"California","CA","closing_bars","3/16/2020","Lockdown"
"Colorado","CO","closing_bars","3/17/2020","Lockdown"
"Connecticut","CT","closing_bars","3/16/2020","Lockdown"
"Delaware","DE","closing_bars","3/16/2020","Lockdown"
