"date","state","time","Z_t","M_t","W_t_ma","ed","zed","ed2","sc","sh","rb","ob","old","meanold","cold","white","black","asian","hispanic"
2020-04-16,"Illinois",31,25734,26098.7142857143,0.054883189172335,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-17,"Illinois",32,27575,27453.4285714286,0.0519073189155459,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-18,"Illinois",33,29160,28855.1428571429,0.0510578954489161,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-19,"Illinois",34,30357,30357.2857142857,0.0520580634301386,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-17,"Indiana",1,30,37.7142857142857,0.353846153846154,0,-0.689212740446557,11,0,0,1,1,2,3.67647058823529,-1.67647058823529,0.784,0.093,0.023,0.071
2020-03-18,"Indiana",2,39,53.8571428571429,0.428030303030303,0,-0.689212740446557,11,0,0,1,1,2,3.67647058823529,-1.67647058823529,0.784,0.093,0.023,0.071
2020-03-19,"Indiana",3,56,80.2857142857143,0.490716180371353,0,-0.689212740446557,11,0,0,1,1,2,3.67647058823529,-1.67647058823529,0.784,0.093,0.023,0.071
2020-03-20,"Indiana",4,81,114.571428571429,0.427046263345196,0,-0.689212740446557,11,1,0,1,1,3,3.67647058823529,-0.676470588235294,0.784,0.093,0.023,0.071
2020-03-21,"Indiana",5,128,163.285714285714,0.425187032418953,0,-0.689212740446557,11,1,0,1,1,3,3.67647058823529,-0.676470588235294,0.784,0.093,0.023,0.071
2020-03-22,"Indiana",6,204,226.857142857143,0.389326334208224,0,-0.689212740446557,11,1,0,1,1,3,3.67647058823529,-0.676470588235294,0.784,0.093,0.023,0.071
2020-03-23,"Indiana",7,264,313.285714285714,0.380982367758186,0,-0.689212740446557,11,1,0,1,1,3,3.67647058823529,-0.676470588235294,0.784,0.093,0.023,0.071
2020-03-24,"Indiana",8,371,443.428571428571,0.415412676698587,0,-0.689212740446557,11,1,0,1,1,3,3.67647058823529,-0.676470588235294,0.784,0.093,0.023,0.071
2020-03-25,"Indiana",9,484,602.142857142857,0.357925257731959,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-26,"Indiana",10,661,790.428571428571,0.312692763938316,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-27,"Indiana",11,992,1009.42857142857,0.277064883426712,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-28,"Indiana",12,1239,1267.42857142857,0.255590150014152,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-29,"Indiana",13,1522,1566.57142857143,0.236023444544635,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-30,"Indiana",14,1797,1908.71428571429,0.218402334488419,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-31,"Indiana",15,2177,2260.57142857143,0.184342489334631,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-01,"Indiana",16,2578,2651.42857142857,0.172901921132457,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-02,"Indiana",17,3056,3067.85714285714,0.157058189655172,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
